2.613597218070527369e-09 1.000000000000000182e+04 -1.257728127381972019e-09 1.000000000000000182e+04 1.262263826987015162e-13
2.633739511823681927e-09 9.961732146500276940e+03 -1.243345243028171061e-09 9.961732146500276940e+03 1.252596912060411786e-13
2.654037036840029145e-09 9.923609971934682108e+03 -1.229126057828228512e-09 9.923609971934682108e+03 1.243004043833849999e-13
2.674490989445338590e-09 9.885633438447486697e+03 -1.215068880078197103e-09 9.885633438447486697e+03 1.233484794524745623e-13
2.695102575185153133e-09 9.847802042929124582e+03 -1.201171895377560349e-09 9.847802042929124582e+03 1.224038598513228679e-13
2.715873008895798687e-09 9.810115231439869603e+03 -1.187433304168707309e-09 9.810115231439869603e+03 1.214664884818756841e-13
2.736803514776053612e-09 9.772572452151276593e+03 -1.173851277494534185e-09 9.772572452151276593e+03 1.205363103909954415e-13
2.757895326459255704e-09 9.735173155338148717e+03 -1.160424044551786537e-09 9.735173155338148717e+03 1.196132690010275570e-13
2.779149687086025848e-09 9.697916793370624873e+03 -1.147149868305345105e-09 9.697916793370624873e+03 1.186973088372638645e-13
2.800567849377535955e-09 9.660802855383408314e+03 -1.134026990228422714e-09 9.660802855383408314e+03 1.177883768428774153e-13
2.822151075709356335e-09 9.623830828545074837e+03 -1.121053711891326504e-09 9.623830828545074837e+03 1.168864185437630295e-13
2.843900638185813035e-09 9.587000126752096548e+03 -1.108228339446296109e-09 9.587000126752096548e+03 1.159913788256075965e-13
2.865817818715034209e-09 9.550310210435038243e+03 -1.095549158738762758e-09 9.550310210435038243e+03 1.151032048466035424e-13
2.887903909084458890e-09 9.513760542082092798e+03 -1.083014520834833728e-09 9.513760542082092798e+03 1.142218427635766900e-13
2.910160211036985993e-09 9.477350586231159468e+03 -1.070622804133399842e-09 9.477350586231159468e+03 1.133472399023535439e-13
2.932588036347697803e-09 9.441079809461984041e+03 -1.058372349892873142e-09 9.441079809461984041e+03 1.124793445127338989e-13
2.955188706901188950e-09 9.404947703440984696e+03 -1.046261575159338922e-09 9.404947703440984696e+03 1.116181046724384738e-13
2.977963554769427683e-09 9.368954401209146454e+03 -1.034289131757044122e-09 9.368954401209146454e+03 1.107634846669713217e-13
3.000913922290340506e-09 9.333098913911475393e+03 -1.022453257476002048e-09 9.333098913911475393e+03 1.099154227148890434e-13
3.024041162146880723e-09 9.297380598748997727e+03 -1.010752378434247089e-09 9.297380598748997727e+03 1.090738649183918353e-13
3.047346637446766575e-09 9.261798931130182609e+03 -9.991849779001866215e-10 9.261798931130182609e+03 1.082387610124756178e-13
3.070831721802822406e-09 9.226353388469004130e+03 -9.877495013822302518e-10 9.226353388469004130e+03 1.074100612858337163e-13
3.094497799413939782e-09 9.191043450177254272e+03 -9.764444685194017617e-10 9.191043450177254272e+03 1.065877159586591048e-13
3.118346265146671839e-09 9.155868597656950442e+03 -9.652684127373522677e-10 9.155868597656950442e+03 1.057716759289491298e-13
3.142378524617397125e-09 9.120828314292653886e+03 -9.542198303039598273e-10 9.120828314292653886e+03 1.049618925590809598e-13
3.166595994275240735e-09 9.085922085443993637e+03 -9.432972931446093660e-10 9.085922085443993637e+03 1.041583173367245466e-13
3.191000101485509543e-09 9.051149398437970376e+03 -9.324993831773562061e-10 9.051149398437970376e+03 1.033609022963678123e-13
3.215592284613833008e-09 9.016509742561625899e+03 -9.218246461164797313e-10 9.016509742561625899e+03 1.025695998867743348e-13
3.240373993110938023e-09 8.982002609054410641e+03 -9.112717039933081077e-10 8.982002609054410641e+03 1.017843627965254336e-13
3.265346687598094603e-09 8.947627491100707630e+03 -9.008391856285425481e-10 8.947627491100707630e+03 1.010051441725975473e-13
3.290511839953148460e-09 8.913384155118190392e+03 -8.905257661585661016e-10 8.913384155118190392e+03 1.002319036609296005e-13
3.315870933397355115e-09 8.879272778513661251e+03 -8.803303164607448748e-10 8.879272778513661251e+03 9.946461030303386400e-14
3.341425462582744645e-09 8.845292060540630700e+03 -8.702512679669704212e-10 8.845292060540630700e+03 9.870320020321810733e-14
3.367176933680230069e-09 8.811441500289345640e+03 -8.602872594538252861e-10 8.811441500289345640e+03 9.794762788455158189e-14
3.393126864468380368e-09 8.777720598772139056e+03 -8.504370059945726123e-10 8.777720598772139056e+03 9.719784821690713930e-14
3.419276784422892065e-09 8.744128858915955789e+03 -8.406992242055990696e-10 8.744128858915955789e+03 9.645381642481057415e-14
3.445628234806678293e-09 8.710665785555112961e+03 -8.310725980115663821e-10 8.710665785555112961e+03 9.571548808541530879e-14
3.472182768760794967e-09 8.677330885423854852e+03 -8.215558872817966162e-10 8.677330885423854852e+03 9.498281914766990844e-14
3.498941951395926549e-09 8.644123667149104222e+03 -8.121478511108665151e-10 8.644123667149104222e+03 9.425576587862105139e-14
3.525907359884646048e-09 8.611043641243266393e+03 -8.028472171055033341e-10 8.611043641243266393e+03 9.353428488794692650e-14
3.553080583554372341e-09 8.578090320096831420e+03 -7.936527883396800393e-10 8.578090320096831420e+03 9.281833317447076929e-14
3.580463223981046718e-09 8.545263217971336417e+03 -7.845633649683327604e-10 8.545263217971336417e+03 9.210786802298528980e-14
3.608056895083540662e-09 8.512561850992000473e+03 -7.755777168469856156e-10 8.512561850992000473e+03 9.140284705295409234e-14
3.635863223218722064e-09 8.479985737140777928e+03 -7.666946886942027303e-10 8.479985737140777928e+03 9.070322828151115496e-14
3.663883847277400728e-09 8.447535075982354101e+03 -7.579133036313395766e-10 8.447535075982354101e+03 9.000898450511273007e-14
