23.10879111 46.98160651
31.62383905 46.40971760
39.76327239 44.64618393
49.47985228 40.49866898
59.05948635 34.17602858
66.91826623 28.64763009
73.49130201 23.99189948
80.70997314 19.78780251
88.63769707 17.00852287
95.33826027 13.83608171
101.4833348 11.34167712
108.0244932 9.296970244
114.9872652 7.620888409
122.3988261 6.311003626
130.2881028 5.199683676
138.6858867 4.262271258
147.6249539 3.520681566
157.1401930 2.908120562
167.2687417 2.396022553
178.0501309 1.984192158
189.5264398 1.637571737
198.9614682 1.046827656
199.6531014 1.333239567
199.6531014 1e-200
